tournament,tournament_id,dated
ABN AMRO World Tennis Tournament,1,11/02/2014
ABN AMRO World Tennis Tournament,1,11/02/2014
ABN AMRO World Tennis Tournament,1,11/02/2014
ABN AMRO World Tennis Tournament,1,11/02/2014
ABN AMRO World Tennis Tournament,1,11/02/2014
ABN AMRO World Tennis Tournament,1,12/02/2014
ABN AMRO World Tennis Tournament,1,12/02/2014
ABN AMRO World Tennis Tournament,1,12/02/2014
ABN AMRO World Tennis Tournament,1,12/02/2014
ABN AMRO World Tennis Tournament,1,12/02/2014
ABN AMRO World Tennis Tournament,1,12/02/2014
ABN AMRO World Tennis Tournament,1,12/02/2014
ABN AMRO World Tennis Tournament,1,13/02/2014
ABN AMRO World Tennis Tournament,1,13/02/2014
ABN AMRO World Tennis Tournament,1,13/02/2014
ABN AMRO World Tennis Tournament,1,13/02/2014
ABN AMRO World Tennis Tournament,1,13/02/2014
ABN AMRO World Tennis Tournament,1,13/02/2014
ABN AMRO World Tennis Tournament,1,13/02/2014
ABN AMRO World Tennis Tournament,1,14/02/2014
ABN AMRO World Tennis Tournament,1,14/02/2014
ABN AMRO World Tennis Tournament,1,14/02/2014
ABN AMRO World Tennis Tournament,1,14/02/2014
ABN AMRO World Tennis Tournament,1,15/02/2014
ABN AMRO World Tennis Tournament,1,15/02/2014
ABN AMRO World Tennis Tournament,1,16/02/2014
ABN AMRO World Tennis Tournament,1,11/02/2013
ABN AMRO World Tennis Tournament,1,11/02/2013
ABN AMRO World Tennis Tournament,1,11/02/2013
ABN AMRO World Tennis Tournament,1,11/02/2013
ABN AMRO World Tennis Tournament,1,11/02/2013
ABN AMRO World Tennis Tournament,1,11/02/2013
ABN AMRO World Tennis Tournament,1,11/02/2013
ABN AMRO World Tennis Tournament,1,12/02/2013
ABN AMRO World Tennis Tournament,1,12/02/2013
ABN AMRO World Tennis Tournament,1,12/02/2013
ABN AMRO World Tennis Tournament,1,12/02/2013
ABN AMRO World Tennis Tournament,1,12/02/2013
ABN AMRO World Tennis Tournament,1,13/02/2013
ABN AMRO World Tennis Tournament,1,13/02/2013
ABN AMRO World Tennis Tournament,1,13/02/2013
ABN AMRO World Tennis Tournament,1,13/02/2013
ABN AMRO World Tennis Tournament,1,13/02/2013
ABN AMRO World Tennis Tournament,1,13/02/2013
ABN AMRO World Tennis Tournament,1,13/02/2013
ABN AMRO World Tennis Tournament,1,14/02/2013
ABN AMRO World Tennis Tournament,1,14/02/2013
ABN AMRO World Tennis Tournament,1,14/02/2013
ABN AMRO World Tennis Tournament,1,14/02/2013
ABN AMRO World Tennis Tournament,1,14/02/2013
ABN AMRO World Tennis Tournament,1,15/02/2013
ABN AMRO World Tennis Tournament,1,15/02/2013
ABN AMRO World Tennis Tournament,1,15/02/2013
ABN AMRO World Tennis Tournament,1,15/02/2013
ABN AMRO World Tennis Tournament,1,16/02/2013
ABN AMRO World Tennis Tournament,1,16/02/2013
ABN AMRO World Tennis Tournament,1,17/02/2013
ABN AMRO World Tennis Tournament,1,13/02/2012
ABN AMRO World Tennis Tournament,1,13/02/2012
ABN AMRO World Tennis Tournament,1,13/02/2012
ABN AMRO World Tennis Tournament,1,13/02/2012
ABN AMRO World Tennis Tournament,1,14/02/2012
ABN AMRO World Tennis Tournament,1,14/02/2012
ABN AMRO World Tennis Tournament,1,14/02/2012
ABN AMRO World Tennis Tournament,1,14/02/2012
ABN AMRO World Tennis Tournament,1,14/02/2012
ABN AMRO World Tennis Tournament,1,14/02/2012
ABN AMRO World Tennis Tournament,1,15/02/2012
ABN AMRO World Tennis Tournament,1,15/02/2012
ABN AMRO World Tennis Tournament,1,15/02/2012
ABN AMRO World Tennis Tournament,1,15/02/2012
ABN AMRO World Tennis Tournament,1,15/02/2012
ABN AMRO World Tennis Tournament,1,15/02/2012
ABN AMRO World Tennis Tournament,1,15/02/2012
ABN AMRO World Tennis Tournament,1,15/02/2012
ABN AMRO World Tennis Tournament,1,16/02/2012
ABN AMRO World Tennis Tournament,1,16/02/2012
ABN AMRO World Tennis Tournament,1,16/02/2012
ABN AMRO World Tennis Tournament,1,16/02/2012
ABN AMRO World Tennis Tournament,1,16/02/2012
ABN AMRO World Tennis Tournament,1,16/02/2012
ABN AMRO World Tennis Tournament,1,17/02/2012
ABN AMRO World Tennis Tournament,1,17/02/2012
ABN AMRO World Tennis Tournament,1,17/02/2012
ABN AMRO World Tennis Tournament,1,17/02/2012
ABN AMRO World Tennis Tournament,1,18/02/2012
ABN AMRO World Tennis Tournament,1,18/02/2012
ABN AMRO World Tennis Tournament,1,19/02/2012
ABN AMRO World Tennis Tournament,1,07/02/2011
ABN AMRO World Tennis Tournament,1,07/02/2011
ABN AMRO World Tennis Tournament,1,07/02/2011
ABN AMRO World Tennis Tournament,1,07/02/2011
ABN AMRO World Tennis Tournament,1,07/02/2011
ABN AMRO World Tennis Tournament,1,08/02/2011
ABN AMRO World Tennis Tournament,1,08/02/2011
ABN AMRO World Tennis Tournament,1,08/02/2011
ABN AMRO World Tennis Tournament,1,08/02/2011
ABN AMRO World Tennis Tournament,1,08/02/2011
ABN AMRO World Tennis Tournament,1,08/02/2011
ABN AMRO World Tennis Tournament,1,08/02/2011
ABN AMRO World Tennis Tournament,1,09/02/2011
ABN AMRO World Tennis Tournament,1,09/02/2011
ABN AMRO World Tennis Tournament,1,09/02/2011
ABN AMRO World Tennis Tournament,1,09/02/2011
ABN AMRO World Tennis Tournament,1,09/02/2011
ABN AMRO World Tennis Tournament,1,09/02/2011
ABN AMRO World Tennis Tournament,1,09/02/2011
ABN AMRO World Tennis Tournament,1,10/02/2011
ABN AMRO World Tennis Tournament,1,10/02/2011
ABN AMRO World Tennis Tournament,1,10/02/2011
ABN AMRO World Tennis Tournament,1,10/02/2011
ABN AMRO World Tennis Tournament,1,10/02/2011
ABN AMRO World Tennis Tournament,1,11/02/2011
