atp,events_id,series,location,dated,tournament,location_id
59,59,International Gold,Vienna,06/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,06/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,06/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,06/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,06/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,06/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,07/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,07/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,07/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,07/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,07/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,07/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,07/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,07/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,08/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,08/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,08/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,08/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,08/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,08/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,09/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,09/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,09/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,09/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,10/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,10/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,10/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,10/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,11/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,11/10/2008,BA-CA Tennis Trophy,100
59,59,International Gold,Vienna,12/10/2008,BA-CA Tennis Trophy,100
60,60,ATP250,Stockholm,07/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,07/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,07/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,08/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,08/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,08/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,08/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,09/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,09/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,09/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,09/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,09/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,10/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,10/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,10/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,10/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,10/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,10/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,10/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,10/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,11/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,11/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,11/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,11/11/2021,Stockholm Open,92
60,60,ATP250,Stockholm,12/11/2021,Stockholm Open,92
