winner,w_rank,w_pts,loser,l_rank,l_pts,winner_id,loser_id
Chardy J.,73.0,1106.0,Andreev I.,19.0,2490.0,93,26
Gasquet R.,25.0,2330.0,Simon G.,7.0,3960.0,200,827
Gasquet R.,25.0,2330.0,Chardy J.,73.0,1106.0,200,151
Nalbandian D.,11.0,3450.0,Hewitt L.,74.0,1100.0,430,379
Djokovic N.,3.0,10590.0,Ancic M.,35.0,1800.0,147,21
Nieminen J.,40.0,1600.0,Tsonga J.W.,6.0,3995.0,436,907
Nalbandian D.,11.0,3450.0,Gasquet R.,25.0,2330.0,430,301
Nieminen J.,40.0,1600.0,Djokovic N.,3.0,10590.0,436,221
Nalbandian D.,11.0,3450.0,Nieminen J.,40.0,1600.0,430,656
Ferrer D.,12.0,3390.0,Gremelmayr D.,80.0,1042.0,182,340
Berdych T.,21.0,2400.0,Ginepri R.,47.0,1490.0,49,313
Mayer F.,450.0,127.0,Ouahab L.,193.0,430.0,386,682
Hrbaty D.,251.0,302.0,Isner J.,139.0,645.0,258,399
Soderling R.,17.0,2650.0,Kendrick R.,96.0,956.0,558,434
Dabul B.,100.0,940.0,Petzschner P.,63.0,1232.0,112,699
Roddick A.,9.0,3940.0,Rehnquist B.,191.0,442.0,503,735
Malisse X.,195.0,428.0,Llodra M.,56.0,1350.0,371,529
Muller G.,87.0,988.0,Lopez F.,28.0,2010.0,421,533
Tomic B.,768.0,42.0,Starace P.,73.0,1128.0,590,858
Robredo T.,22.0,2390.0,Reynolds B.,69.0,1146.0,499,742
Baghdatis M.,97.0,950.0,Benneteau J.,48.0,1478.0,25,81
Wawrinka S.,16.0,2670.0,Minar I.,102.0,930.0,632,601
Del Potro J.M.,6.0,4060.0,Zverev M.,81.0,1040.0,132,1008
Troicki V.,53.0,1395.0,Martin A.,99.0,940.0,594,563
Klein B.,249.0,304.0,Phau B.,110.0,883.0,300,701
Chardy J.,68.0,1163.0,Daniel M.,101.0,932.0,93,181
Djokovic N.,3.0,10650.0,Stoppini A.,220.0,354.0,147,864
Fish M.,24.0,2330.0,Groth S.,279.0,266.0,186,347
Delic A.,127.0,728.0,Dent T.,728.0,48.0,135,211
Garcia-Lopez G.,62.0,1232.0,Calleri A.,66.0,1170.0,198,132
Korolev E.,118.0,808.0,Moya C.,41.0,1580.0,312,624
Cilic M.,20.0,2450.0,Anderson K.,108.0,904.0,97,23
Lu Y.H.,61.0,1244.0,Bellucci T.,90.0,978.0,363,77
Bolelli S.,39.0,1686.0,Vliegen K.,85.0,1008.0,61,949
Safin M.,27.0,2050.0,Navarro-Pastor I.,74.0,1108.0,520,648
Mathieu P.H.,29.0,2000.0,Nieminen J.,38.0,1700.0,384,656
Tipsarevic J.,46.0,1500.0,Hernandez O.,67.0,1168.0,589,375
Kohlschreiber P.,34.0,1855.0,Querrey S.,33.0,1860.0,306,720
Santoro F.,60.0,1268.0,Ferrero J.C.,65.0,1190.0,526,275
Nalbandian D.,11.0,3500.0,Gicquel M.,50.0,1448.0,430,309
Federer R.,2.0,10700.0,Seppi A.,35.0,1820.0,180,809
Gasquet R.,25.0,2330.0,Junqueira D.,76.0,1088.0,200,424
