loser,best_of,l_one,l_two,l_three,l_four,l_five,loser_id
Gerasimov E.,3,6.0,3.0,6.0,,,305
Popyrin A.,3,4.0,7.0,3.0,,,710
Coric B.,3,5.0,6.0,,,,170
Wawrinka S.,3,,,,,,962
Vesely J.,3,6.0,,,,,942
Dimitrov G.,3,5.0,2.0,,,,218
Chardy J.,3,2.0,2.0,,,,151
Moutet C.,3,1.0,2.0,,,,623
Auger-Aliassime F.,3,2.0,3.0,,,,41
Coria F.,5,3.0,3.0,2.0,,,168
Novak D.,5,2.0,4.0,6.0,,,664
Monfils G.,5,6.0,4.0,5.0,6.0,3.0,612
Millman J.,5,4.0,7.0,6.0,2.0,3.0,597
Lu Y.,5,3.0,6.0,3.0,,,539
Sousa P.,5,3.0,2.0,4.0,,,853
Gombos N.,5,2.0,2.0,6.0,3.0,,322
Nishioka Y.,5,7.0,1.0,1.0,1.0,,661
Ramos-Vinolas A.,5,6.0,6.0,2.0,6.0,,732
Polmans M.,5,6.0,3.0,1.0,7.0,3.0,708
Kukushkin M.,5,6.0,2.0,3.0,,,486
Mager G.,5,3.0,3.0,4.0,,,548
Majchrzak K.,5,2.0,4.0,3.0,,,550
Giron M.,5,7.0,6.0,3.0,2.0,,315
Bedene A.,5,4.0,5.0,7.0,4.0,,72
Paire B.,5,2.0,6.0,6.0,5.0,,685
Dzumhur D.,5,3.0,2.0,4.0,,,240
Coppejans K.,5,4.0,6.0,7.0,3.0,3.0,167
Uchiyama Y.,5,3.0,4.0,7.0,3.0,,911
Londero J.I.,5,6.0,3.0,0.0,3.0,,532
Nishikori K.,5,5.0,6.0,2.0,,,660
Travaglia S.,5,6.0,2.0,2.0,,,896
Cilic M.,5,4.0,2.0,6.0,,,158
Dellien H.,5,5.0,2.0,4.0,,,209
Stakhovsky S.,5,7.0,4.0,3.0,7.0,4.0,857
Stebe C.M.,5,2.0,4.0,2.0,,,862
Ymer E.,5,6.0,4.0,6.0,2.0,,979
Sugita Y.,5,6.0,1.0,1.0,,,870
Ferreira Silva F.,5,4.0,4.0,4.0,,,272
Daniel T.,5,6.0,6.0,4.0,,,182
Chardy J.,5,3.0,1.0,2.0,,,151
Sinner J.,5,6.0,3.0,2.0,6.0,4.0,830
Torpegaard M.,5,6.0,3.0,2.0,2.0,,895
Cecchinato M.,5,6.0,3.0,2.0,2.0,,142
Martin A.,5,6.0,1.0,2.0,,,563
Struff J.L.,5,6.0,6.0,1.0,,,868
Pella G.,5,3.0,6.0,5.0,,,696
Van De Zandschulp B.,5,1.0,4.0,4.0,,,920
Hurkacz H.,5,6.0,3.0,6.0,5.0,3.0,390
Hanfmann Y.,5,3.0,3.0,4.0,,,364
Goffin D.,5,6.0,4.0,7.0,6.0,3.0,317
Vukic A.,5,3.0,7.0,6.0,4.0,,953
Bautista Agut R.,5,7.0,0.0,4.0,6.0,,67
Seppi A.,5,4.0,6.0,2.0,2.0,,809
Haase R.,5,6.0,3.0,6.0,2.0,,354
Halys Q.,5,4.0,5.0,5.0,,,361
Nagal S.,5,2.0,5.0,3.0,,,639
Pospisil V.,5,2.0,2.0,4.0,,,712
Tu L.,5,7.0,4.0,6.0,4.0,,908
Querrey S.,5,5.0,4.0,4.0,,,720
Basilashvili N.,5,4.0,6.0,4.0,,,64
Djere L.,5,3.0,4.0,1.0,,,219
Laaksonen H.,5,2.0,4.0,3.0,,,498
Troicki V.,5,6.0,7.0,6.0,6.0,5.0,899
Sandgren T.,5,5.0,1.0,1.0,,,790
Balazs A.,5,5.0,6.0,2.0,3.0,,52
Evans D.,5,4.0,6.0,4.0,5.0,,265
Vilella Martinez M.,5,7.0,5.0,0.0,0.0,,945
Herbert P.H.,5,4.0,2.0,3.0,,,374
Thompson J.,5,3.0,3.0,1.0,,,886
Kwon S.W.,5,4.0,1.0,1.0,,,495
Anderson K.,5,6.0,5.0,3.0,,,23
Ivashka I.,5,4.0,3.0,4.0,,,403
Simon G.,5,1.0,2.0,1.0,,,827
Gerasimov E.,5,0.0,1.0,0.0,,,305
Wawrinka S.,5,5.0,1.0,6.0,6.0,6.0,962
Ruusuvuori E.,5,6.0,3.0,2.0,6.0,,773
Duckworth J.,5,4.0,1.0,2.0,,,234
Muller A.,5,2.0,0.0,3.0,,,626
Moutet C.,5,7.0,1.0,1.0,4.0,,623
Tiafoe F.,5,3.0,7.0,6.0,3.0,,887
Koepfer D.,5,4.0,0.0,2.0,,,459
Bublik A.,5,4.0,6.0,6.0,3.0,,125
Opelka R.,5,6.0,6.0,7.0,6.0,2.0,678
Tomic B.,5,1.0,3.0,2.0,,,891
Kecmanovic M.,5,1.0,2.0,4.0,,,433
Vesely J.,5,3.0,6.0,6.0,4.0,,942
Humbert U.,5,7.0,4.0,6.0,6.0,4.0,389
Cressy M.,5,5.0,4.0,3.0,,,174
Bolt A.,5,6.0,1.0,2.0,,,103
Sonego L.,5,7.0,6.0,3.0,5.0,4.0,850
Monteiro T.,5,4.0,4.0,6.0,,,616
Popyrin A.,5,2.0,6.0,3.0,7.0,3.0,710
Alcaraz C.,5,6.0,4.0,4.0,6.0,,12
Paul T.,5,6.0,2.0,4.0,5.0,,690
Berankis R.,5,2.0,4.0,4.0,,,82
Andujar P.,5,2.0,7.0,1.0,4.0,,29
Kokkinakis T.,5,7.0,4.0,1.0,7.0,4.0,462
Machac T.,5,3.0,2.0,6.0,3.0,,545
Coric B.,5,4.0,2.0,6.0,4.0,,170
O Connell C.,5,2.0,5.0,6.0,,,666
Caruso S.,5,6.0,2.0,6.0,3.0,6.0,139
Safiullin R.,5,6.0,5.0,3.0,6.0,,780
Cuevas P.,5,3.0,3.0,5.0,,,178
Carballes Baena R.,5,2.0,5.0,1.0,,,135
Mmoh M.,5,1.0,4.0,2.0,,,605
Carreno Busta P.,5,0.0,0.0,,,,136
Mannarino A.,5,3.0,3.0,1.0,,,553
Martinez P.,5,7.0,5.0,1.0,4.0,,565
Schwartzman D.,5,3.0,3.0,3.0,,,806
Fucsovics M.,5,6.0,7.0,2.0,2.0,,287
Shapovalov D.,5,5.0,5.0,3.0,,,816
Kyrgios N.,5,6.0,6.0,3.0,4.0,4.0,497
Fritz T.,5,6.0,4.0,6.0,6.0,2.0,286
Albot R.,5,1.0,7.0,4.0,4.0,,10
Harris L.,5,6.0,1.0,4.0,,,367
Krajinovic F.,5,3.0,3.0,6.0,6.0,0.0,475
Ymer M.,5,4.0,1.0,1.0,,,980
Lopez F.,5,5.0,2.0,3.0,,,533
Khachanov K.,5,6.0,6.0,6.0,,,436
De Minaur A.,5,4.0,3.0,4.0,,,193
Norrie C.,5,5.0,2.0,5.0,,,663
Auger-Aliassime F.,5,6.0,6.0,3.0,3.0,4.0,41
Thiem D.,5,4.0,4.0,0.0,,,884
Lajovic D.,5,4.0,6.0,3.0,,,501
Raonic M.,5,6.0,6.0,1.0,4.0,,733
Mcdonald M.,5,4.0,2.0,3.0,,,575
Ruud C.,5,2.0,6.0,,,,772
Fognini F.,5,3.0,4.0,2.0,,,282
Berrettini M.,5,,,,,,87
Dimitrov G.,5,6.0,4.0,1.0,2.0,,218
Zverev A.,5,7.0,2.0,4.0,6.0,,1007
Rublev A.,5,5.0,3.0,2.0,,,768
Nadal R.,5,6.0,6.0,6.0,4.0,5.0,637
Karatsev A.,5,3.0,4.0,2.0,,,429
Tsitsipas S.,5,4.0,2.0,5.0,,,906
Medvedev D.,5,5.0,2.0,2.0,,,579
Galan D.E.,3,2.0,6.0,3.0,,,291
Munar J.,3,7.0,6.0,4.0,,,628
Sousa J.,3,3.0,1.0,,,,852
Dellien H.,3,2.0,6.0,1.0,,,209
Koepfer D.,3,1.0,4.0,,,,459
Seyboth Wild T.,3,5.0,6.0,,,,814
Kicker N.,3,1.0,4.0,,,,438
Martin A.,3,3.0,6.0,,,,563
Londero J.I.,3,6.0,2.0,2.0,,,532
Mager G.,3,7.0,1.0,4.0,,,548
Sousa P.,3,4.0,4.0,,,,853
Menezes J.,3,3.0,3.0,,,,589
Barrios M.,3,6.0,2.0,3.0,,,60
Cerundolo F.,3,6.0,2.0,4.0,,,145
Delbonis F.,3,4.0,5.0,,,,204
Jarry N.,3,2.0,4.0,,,,407
Carballes Baena R.,3,3.0,4.0,,,,135
Kecmanovic M.,3,7.0,5.0,2.0,,,433
Cecchinato M.,3,2.0,2.0,,,,142
Etcheverry T.,3,6.0,6.0,5.0,,,262
Monteiro T.,3,2.0,6.0,3.0,,,616
Paire B.,3,3.0,2.0,,,,685
Kovalik J.,3,1.0,2.0,,,,472
Schwartzman D.,3,1.0,6.0,3.0,,,806
Coria F.,3,4.0,6.0,2.0,,,168
Bagnis F.,3,5.0,7.0,3.0,,,48
Ramos-Vinolas A.,3,0.0,6.0,2.0,,,732
Gombos N.,3,3.0,6.0,,,,322
Gaston H.,3,3.0,7.0,1.0,,,302
Tsonga J.W.,3,4.0,2.0,,,,907
Giron M.,3,2.0,7.0,3.0,,,315
Struff J.L.,3,3.0,4.0,,,,868
Pouille L.,3,6.0,2.0,,,,713
Ymer M.,3,1.0,1.0,,,,980
Simon G.,3,6.0,6.0,3.0,,,827
Murray A.,3,6.0,1.0,,,,633
Zapata Miralles B.,3,6.0,7.0,2.0,,,986
Sinner J.,3,6.0,2.0,6.0,,,830
Basilashvili N.,3,4.0,4.0,,,,64
Korda S.,3,3.0,2.0,,,,467
Griekspoor T.,3,7.0,6.0,6.0,,,343
Bonzi B.,3,6.0,4.0,5.0,,,104
Bedene A.,3,4.0,6.0,,,,72
Vesely J.,3,7.0,6.0,3.0,,,942
Hurkacz H.,3,5.0,2.0,,,,390
Lajovic D.,3,6.0,5.0,,,,501
Barrere G.,3,0.0,3.0,,,,58
Sonego L.,3,4.0,4.0,,,,850
Davidovich Fokina A.,3,6.0,4.0,5.0,,,185
Novak D.,3,4.0,1.0,,,,664
Humbert U.,3,3.0,3.0,,,,389
Gerasimov E.,3,4.0,6.0,4.0,,,305
Gojowczyk P.,3,5.0,1.0,,,,319
Bautista Agut R.,3,7.0,4.0,2.0,,,67
Ramanathan R.,3,3.0,7.0,3.0,,,728
Jung J.,3,6.0,2.0,,,,423
Harris L.,3,6.0,3.0,4.0,,,367
Eubanks C.,3,6.0,6.0,,,,263
Mmoh M.,3,2.0,6.0,3.0,,,605
Polmans M.,3,4.0,6.0,4.0,,,708
Smith J.P.,3,2.0,6.0,1.0,,,843
Duckworth J.,3,2.0,4.0,,,,234
Mochizuki S.,3,0.0,4.0,,,,606
Kwiatkowski T.S.,3,6.0,3.0,4.0,,,494
Gulbis E.,3,5.0,4.0,,,,350
Bhambri Y.,3,3.0,6.0,,,,91
Daniel T.,3,5.0,4.0,,,,182
Cressy M.,3,4.0,2.0,,,,174
Celikbilek A.,3,2.0,2.0,,,,143
Andreev A.,3,1.0,7.0,3.0,,,25
Hanfmann Y.,3,7.0,6.0,3.0,,,364
Millman J.,3,4.0,1.0,,,,597
Marcora R.,3,3.0,5.0,,,,557
Uchiyama Y.,3,3.0,4.0,,,,911
Ebden M.,3,4.0,6.0,,,,242
Mannarino A.,3,3.0,4.0,,,,553
Kwon S.W.,3,2.0,6.0,5.0,,,495
Nishioka Y.,3,3.0,2.0,,,,661
Cilic M.,3,6.0,6.0,,,,158
Albot R.,3,6.0,3.0,4.0,,,10
Bublik A.,3,6.0,0.0,2.0,,,125
Cecchinato M.,3,7.0,2.0,3.0,,,142
Tirante T.A.,3,6.0,3.0,4.0,,,889
Londero J.I.,3,3.0,0.0,,,,532
Carballes Baena R.,3,2.0,3.0,,,,135
Martin A.,3,4.0,3.0,,,,563
Caruso S.,3,6.0,4.0,,,,139
Sousa J.,3,2.0,0.0,,,,852
Diaz Acosta F.,3,6.0,3.0,,,,216
Coria F.,3,4.0,5.0,,,,168
Rune H.,3,6.0,4.0,3.0,,,770
Bagnis F.,3,1.0,3.0,,,,48
Cerundolo J.M.,3,4.0,6.0,,,,146
Monteiro T.,3,7.0,3.0,4.0,,,616
Koepfer D.,3,5.0,4.0,,,,459
Delbonis F.,3,6.0,3.0,,,,204
Garin C.,3,4.0,3.0,,,,299
Mager G.,3,4.0,6.0,,,,548
Paire B.,3,6.0,3.0,1.0,,,685
Tiafoe F.,3,6.0,4.0,,,,887
Klein L.,3,4.0,2.0,,,,453
Nagal S.,3,6.0,2.0,5.0,,,639
Andujar P.,3,6.0,3.0,2.0,,,29
Djere L.,3,4.0,6.0,,,,219
Munar J.,3,2.0,5.0,,,,628
Ramos-Vinolas A.,3,6.0,6.0,2.0,,,732
Kecmanovic M.,3,0.0,4.0,,,,433
Cerundolo F.,3,1.0,2.0,,,,145
Basilashvili N.,3,0.0,3.0,,,,64
Auger-Aliassime F.,3,6.0,1.0,,,,41
Haase R.,3,6.0,6.0,3.0,,,354
Opelka R.,3,6.0,7.0,6.0,,,678
Millman J.,3,1.0,4.0,,,,597
Giron M.,3,6.0,3.0,,,,315
Mannarino A.,3,3.0,6.0,,,,553
Wawrinka S.,3,4.0,5.0,,,,962
Humbert U.,3,6.0,6.0,6.0,,,389
Gerasimov E.,3,6.0,5.0,,,,305
Van De Zandschulp B.,3,4.0,6.0,,,,920
Zverev A.,3,5.0,3.0,,,,1007
Sonego L.,3,4.0,6.0,,,,850
Medvedev D.,3,6.0,4.0,,,,579
Struff J.L.,3,4.0,0.0,,,,868
Bautista Agut R.,3,2.0,6.0,,,,67
De Minaur A.,3,3.0,6.0,5.0,,,193
Murray A.,3,5.0,2.0,,,,633
Norrie C.,3,2.0,2.0,,,,663
Goffin D.,3,6.0,6.0,,,,317
Bublik A.,3,7.0,3.0,1.0,,,125
Hurkacz H.,3,4.0,6.0,5.0,,,390
Lajovic D.,3,3.0,2.0,,,,501
Davidovich Fokina A.,3,3.0,2.0,,,,185
Khachanov K.,3,6.0,3.0,5.0,,,436
Chardy J.,3,6.0,7.0,4.0,,,151
Nishikori K.,3,6.0,6.0,,,,660
Paul T.,3,4.0,3.0,,,,690
Tsitsipas S.,3,3.0,6.0,,,,906
Coric B.,3,4.0,1.0,,,,170
Fucsovics M.,3,6.0,4.0,,,,287
Millman J.,3,6.0,4.0,2.0,,,597
Zayid M.,3,4.0,0.0,,,,989
Ramanathan R.,3,4.0,2.0,,,,728
Sonego L.,3,6.0,4.0,,,,850
Rola B.,3,4.0,4.0,,,,761
Opelka R.,3,6.0,3.0,4.0,,,678
Chardy J.,3,4.0,6.0,2.0,,,151
O Connell C.,3,3.0,4.0,,,,666
Gombos N.,3,2.0,5.0,,,,322
Lajovic D.,3,6.0,3.0,,,,501
Wawrinka S.,3,6.0,7.0,5.0,,,962
Krajinovic F.,3,4.0,4.0,,,,475
Gasquet R.,3,,,,,,301
Pospisil V.,3,5.0,4.0,,,,712
Karatsev A.,3,7.0,3.0,2.0,,,429
Bublik A.,3,4.0,3.0,,,,125
Goffin D.,3,1.0,7.0,6.0,,,317
Jaziri M.,3,2.0,2.0,,,,409
Evans D.,3,6.0,6.0,5.0,,,265
Harris L.,3,6.0,6.0,2.0,,,367
Shapovalov D.,3,7.0,3.0,5.0,,,816
Fucsovics M.,3,,,,,,287
Federer R.,3,6.0,1.0,5.0,,,271
Thiem D.,3,6.0,6.0,4.0,,,884
Rublev A.,3,3.0,3.0,,,,768
Fritz T.,3,6.0,1.0,,,,286
Bautista Agut R.,3,6.0,2.0,,,,67
Nishioka Y.,3,2.0,2.0,,,,661
Novak D.,3,6.0,4.0,1.0,,,664
Barrere G.,3,6.0,7.0,5.0,,,58
Bonzi B.,3,6.0,6.0,3.0,,,104
Travaglia S.,3,6.0,6.0,,,,896
Kukushkin M.,3,6.0,3.0,2.0,,,486
Nishikori K.,3,1.0,4.0,,,,660
Lopez F.,3,6.0,4.0,5.0,,,533
Tsitsipas P.,3,0.0,2.0,,,,905
Molcan A.,3,5.0,3.0,,,,608
Hanfmann Y.,3,2.0,0.0,,,,364
Lestienne C.,3,4.0,7.0,3.0,,,518
Ruusuvuori E.,3,2.0,2.0,,,,773
Mcdonald M.,3,6.0,4.0,,,,575
Gaston H.,3,4.0,1.0,,,,302
Tsonga J.W.,3,3.0,4.0,,,,907
Norrie C.,3,3.0,4.0,,,,663
Davidovich Fokina A.,3,6.0,1.0,2.0,,,185
Gerasimov E.,3,2.0,4.0,,,,305
Pouille L.,3,2.0,3.0,,,,713
Khachanov K.,3,6.0,4.0,2.0,,,436
Sinner J.,3,2.0,4.0,,,,830
Tsitsipas S.,3,7.0,4.0,2.0,,,906
Rinderknech A.,3,6.0,5.0,6.0,,,748
Ebden M.,3,4.0,0.0,,,,242
Humbert U.,3,3.0,2.0,,,,389
Herbert P.H.,3,4.0,7.0,4.0,,,374
Mayer L.,3,2.0,4.0,,,,572
Cecchinato M.,3,7.0,2.0,3.0,,,142
Altmaier D.,3,6.0,6.0,5.0,,,17
Caruso S.,3,4.0,6.0,,,,139
Jarry N.,3,6.0,7.0,6.0,,,407
Mager G.,3,6.0,6.0,6.0,,,548
Munar J.,3,4.0,7.0,4.0,,,628
Kovalik J.,3,1.0,6.0,4.0,,,472
Sousa J.,3,4.0,1.0,,,,852
Baez S.,3,3.0,2.0,,,,46
Cerundolo F.,3,1.0,2.0,,,,145
Lama G.,3,5.0,2.0,,,,502
Sousa P.,3,7.0,5.0,3.0,,,853
Tiafoe F.,3,6.0,6.0,,,,887
Martin A.,3,0.0,3.0,,,,563
Paire B.,3,2.0,3.0,,,,685
Andujar P.,3,1.0,6.0,,,,29
Cerundolo J.M.,3,2.0,0.0,,,,146
Coria F.,3,4.0,6.0,,,,168
Tabilo A.,3,2.0,2.0,,,,877
Djere L.,3,6.0,3.0,3.0,,,219
Rune H.,3,3.0,3.0,,,,770
Varillas J. P.,3,4.0,4.0,,,,927
Carballes Baena R.,3,6.0,3.0,,,,135
Delbonis F.,3,5.0,3.0,,,,204
Galan D.E.,3,4.0,3.0,,,,291
Bagnis F.,3,4.0,7.0,5.0,,,48
Lopez Villasenor G.,3,4.0,2.0,,,,535
Sandgren T.,3,3.0,6.0,,,,790
Caruso S.,3,4.0,3.0,,,,139
Alcaraz C.,3,3.0,1.0,,,,12
Johnson S.,3,2.0,3.0,,,,415
Cilic M.,3,5.0,2.0,,,,158
Paul T.,3,6.0,4.0,,,,690
Schwartzman D.,3,3.0,6.0,4.0,,,806
Nakashima B.,3,4.0,7.0,6.0,,,640
Kudla D.,3,6.0,6.0,3.0,,,482
Travaglia S.,3,5.0,2.0,,,,896
Paire B.,3,3.0,1.0,,,,685
Kozlov S.,3,3.0,3.0,,,,473
Lopez F.,3,4.0,4.0,,,,533
Mannarino A.,3,4.0,0.0,,,,553
Galan D.E.,3,4.0,1.0,,,,291
Tiafoe F.,3,6.0,3.0,6.0,,,887
Raonic M.,3,4.0,2.0,,,,733
Korda S.,3,3.0,4.0,,,,467
Kecmanovic M.,3,4.0,2.0,,,,433
Griekspoor T.,3,6.0,3.0,6.0,,,343
Djere L.,3,4.0,3.0,,,,219
Fognini F.,3,4.0,3.0,,,,282
Isner J.,3,3.0,2.0,,,,399
Ruud C.,3,,,,,,772
Norrie C.,3,5.0,4.0,,,,663
Auger-Aliassime F.,3,5.0,6.0,3.0,,,41
Dimitrov G.,3,4.0,6.0,,,,218
Koepfer D.,3,4.0,6.0,,,,459
Musetti L.,3,1.0,3.0,,,,634
Tsitsipas S.,3,4.0,6.0,,,,906
Opelka R.,3,6.0,3.0,4.0,,,678
Ramos-Vinolas A.,3,3.0,6.0,4.0,,,732
Gerasimov E.,3,4.0,4.0,,,,305
Nishioka Y.,3,4.0,6.0,,,,661
Tsonga J.W.,3,3.0,,,,,907
Novak D.,3,6.0,5.0,,,,664
Kukushkin M.,3,3.0,2.0,,,,486
Albot R.,3,4.0,4.0,,,,10
Millman J.,3,4.0,4.0,,,,597
Bhambri Y.,3,6.0,1.0,4.0,,,91
O Connell C.,3,7.0,4.0,1.0,,,666
Cecchinato M.,3,4.0,2.0,,,,142
Thompson J.,3,3.0,6.0,,,,886
Pospisil V.,3,6.0,5.0,4.0,,,712
De Minaur A.,3,6.0,3.0,4.0,,,193
Zapata Miralles B.,3,2.0,2.0,,,,986
Gasquet R.,3,3.0,4.0,,,,301
Evans D.,3,4.0,6.0,4.0,,,265
Struff J.L.,3,1.0,3.0,,,,868
Popyrin A.,3,4.0,6.0,6.0,,,710
Bublik A.,3,6.0,6.0,4.0,,,125
Jaziri M.,3,5.0,2.0,,,,409
Ruusuvuori E.,3,4.0,4.0,,,,773
Giustino L.,3,4.0,3.0,,,,316
Ebden M.,3,1.0,,,,,242
Carreno Busta P.,3,7.0,3.0,2.0,,,136
Basilashvili N.,3,6.0,3.0,6.0,,,64
Goffin D.,3,3.0,6.0,,,,317
Davidovich Fokina A.,3,5.0,4.0,,,,185
Thiem D.,3,3.0,4.0,,,,884
Hurkacz H.,3,4.0,3.0,,,,390
Khachanov K.,3,7.0,4.0,4.0,,,436
Bautista Agut R.,3,4.0,6.0,5.0,,,67
Sonego L.,3,6.0,3.0,4.0,,,850
Bedene A.,3,4.0,4.0,,,,72
Lajovic D.,3,1.0,6.0,4.0,,,501
Fritz T.,3,3.0,1.0,,,,286
Krajinovic F.,3,6.0,4.0,,,,475
Chardy J.,3,5.0,4.0,,,,151
Sinner J.,3,7.0,3.0,2.0,,,830
Nishikori K.,3,1.0,6.0,3.0,,,660
Fucsovics M.,3,5.0,2.0,,,,287
Shapovalov D.,3,7.0,4.0,6.0,,,816
Rublev A.,3,2.0,6.0,4.0,,,768
Harris L.,3,3.0,2.0,,,,367
Lopez F.,3,4.0,6.0,,,,533
Sousa P.,3,1.0,3.0,,,,853
Nishioka Y.,3,1.0,6.0,5.0,,,661
Tabilo A.,3,3.0,1.0,,,,877
Paul T.,3,6.0,4.0,,,,690
Querrey S.,3,3.0,4.0,,,,720
Koepfer D.,3,1.0,4.0,,,,459
Lorenzi P.,3,3.0,2.0,,,,538
Johnson S.,3,5.0,2.0,,,,415
Gaio F.,3,6.0,2.0,,,,289
Zverev M.,3,2.0,6.0,4.0,,,1008
Nava E.,3,4.0,6.0,,,,647
Pospisil V.,3,3.0,6.0,3.0,,,712
Vesely J.,3,3.0,7.0,1.0,,,942
Alcaraz C.,3,4.0,6.0,5.0,,,12
Travaglia S.,3,7.0,4.0,2.0,,,896
Mochizuki S.,3,3.0,3.0,,,,606
Draper J.,3,5.0,,,,,232
Kwon S.W.,3,6.0,7.0,6.0,,,495
Verdasco F.,3,4.0,4.0,,,,940
Chardy J.,3,6.0,3.0,4.0,,,151
Delbonis F.,3,6.0,4.0,,,,204
Caruso S.,3,3.0,4.0,,,,139
Coria F.,3,3.0,6.0,4.0,,,168
Broady L.,3,5.0,7.0,1.0,,,118
Anderson K.,3,6.0,5.0,,,,23
Seyboth Wild T.,3,3.0,4.0,,,,814
Martinez P.,3,4.0,0.0,,,,565
Albot R.,3,3.0,0.0,,,,10
Mmoh M.,3,4.0,4.0,,,,605
O Connell C.,3,6.0,7.0,5.0,,,666
Fabbiano T.,3,6.0,6.0,3.0,,,267
Opelka R.,3,4.0,2.0,,,,678
Goffin D.,3,3.0,1.0,,,,317
Escobedo E.,3,2.0,3.0,,,,259
Giron M.,3,2.0,2.0,,,,315
Dimitrov G.,3,5.0,5.0,,,,218
Berankis R.,3,3.0,4.0,,,,82
Basilashvili N.,3,3.0,6.0,4.0,,,64
Gaston H.,3,2.0,2.0,,,,302
Herbert P.H.,3,4.0,4.0,,,,374
Lu Y.,3,2.0,2.0,,,,539
Hanfmann Y.,3,3.0,2.0,,,,364
Harris L.,3,,,,,,367
Zverev A.,3,6.0,3.0,1.0,,,1007
Djere L.,3,3.0,4.0,,,,219
Evans D.,3,7.0,3.0,3.0,,,265
Mcdonald M.,3,6.0,3.0,5.0,,,575
Fratangelo B.,3,4.0,6.0,,,,285
Bedene A.,3,6.0,7.0,4.0,,,72
Thompson J.,3,2.0,1.0,,,,886
Kudla D.,3,6.0,4.0,,,,482
Dzumhur D.,3,1.0,4.0,,,,240
Paire B.,3,3.0,3.0,,,,685
De Minaur A.,3,6.0,3.0,4.0,,,193
Garin C.,3,6.0,5.0,6.0,,,299
Kukushkin M.,3,4.0,3.0,,,,486
Sousa J.,3,1.0,4.0,,,,852
Kecmanovic M.,3,3.0,4.0,,,,433
Ivashka I.,3,7.0,4.0,4.0,,,403
Kokkinakis T.,3,6.0,7.0,4.0,,,462
Sandgren T.,3,1.0,2.0,,,,790
Fognini F.,3,6.0,4.0,2.0,,,282
Uchiyama Y.,3,3.0,3.0,,,,911
Struff J.L.,3,6.0,3.0,2.0,,,868
Auger-Aliassime F.,3,6.0,6.0,,,,41
Khachanov K.,3,6.0,6.0,4.0,,,436
Popyrin A.,3,6.0,7.0,4.0,,,710
Ymer M.,3,6.0,1.0,5.0,,,980
Norrie C.,3,4.0,6.0,1.0,,,663
Duckworth J.,3,4.0,4.0,,,,234
Lajovic D.,3,6.0,5.0,3.0,,,501
Humbert U.,3,4.0,5.0,,,,389
Musetti L.,3,3.0,4.0,,,,634
Shapovalov D.,3,3.0,6.0,,,,816
Fucsovics M.,3,2.0,1.0,,,,287
Mannarino A.,3,1.0,4.0,,,,553
Karatsev A.,3,3.0,0.0,,,,429
Galan D.E.,3,6.0,3.0,,,,291
Nishikori K.,3,3.0,6.0,1.0,,,660
Isner J.,3,3.0,6.0,6.0,,,399
Ruusuvuori E.,3,3.0,2.0,,,,773
Fritz T.,3,7.0,3.0,4.0,,,286
Raonic M.,3,6.0,3.0,6.0,,,733
Tiafoe F.,3,4.0,3.0,,,,887
Schwartzman D.,3,3.0,6.0,5.0,,,806
Cilic M.,3,4.0,4.0,,,,158
Sonego L.,3,2.0,6.0,,,,850
Bublik A.,3,6.0,4.0,,,,125
Medvedev D.,3,4.0,2.0,,,,579
Tsitsipas S.,3,6.0,3.0,4.0,,,906
Korda S.,3,5.0,6.0,,,,467
Bautista Agut R.,3,7.0,4.0,4.0,,,67
Rublev A.,3,3.0,4.0,,,,768
Sinner J.,3,6.0,4.0,,,,830
Pella G.,3,4.0,0.0,,,,696
Gaio F.,3,4.0,2.0,,,,289
Paul T.,3,6.0,7.0,3.0,,,690
Zeppieri G.,3,6.0,5.0,6.0,,,996
Sousa J.,3,6.0,1.0,5.0,,,852
Coria F.,3,6.0,6.0,3.0,,,168
Huesler M.A.,3,1.0,3.0,,,,388
Novak D.,3,0.0,1.0,,,,664
Nagal S.,3,6.0,1.0,3.0,,,639
Fabbiano T.,3,4.0,6.0,3.0,,,267
Vesely J.,3,4.0,6.0,1.0,,,942
Travaglia S.,3,6.0,3.0,4.0,,,896
Broady L.,3,4.0,2.0,,,,118
Gerasimov E.,3,4.0,6.0,,,,305
Kovalik J.,3,6.0,4.0,5.0,,,472
Martin A.,3,2.0,6.0,,,,563
Cecchinato M.,3,5.0,1.0,,,,142
Evans D.,3,1.0,6.0,6.0,,,265
Simon G.,3,4.0,1.0,,,,827
Millman J.,3,3.0,3.0,,,,597
Bedene A.,3,3.0,4.0,,,,72
Hanfmann Y.,3,6.0,6.0,3.0,,,364
Musetti L.,3,4.0,6.0,2.0,,,634
Struff J.L.,3,5.0,6.0,3.0,,,868
Fritz T.,3,4.0,7.0,1.0,,,286
Basilashvili N.,3,2.0,0.0,,,,64
Djere L.,3,6.0,6.0,4.0,,,219
Pouille L.,3,4.0,7.0,5.0,,,713
Rune H.,3,3.0,6.0,6.0,,,770
Londero J.I.,3,7.0,1.0,3.0,,,532
Carballes Baena R.,3,5.0,1.0,,,,135
Milojevic N.,3,6.0,3.0,,,,599
Martinez P.,3,3.0,6.0,,,,565
Cerundolo F.,3,3.0,6.0,,,,145
Zapata Miralles B.,3,2.0,3.0,,,,986
Daniel T.,3,4.0,4.0,,,,182
Laaksonen H.,3,4.0,1.0,,,,498
Kukushkin M.,3,5.0,3.0,,,,486
