loser,best_of,l_one,l_two,l_three,l_four,l_five,loser_id
Albot R.,3,6.0,4.0,4.0,,,10
Mager G.,3,6.0,3.0,6.0,,,548
Vukic A.,3,6.0,6.0,3.0,,,953
Zapata Miralles B.,3,3.0,4.0,,,,986
Kopriva V.,3,3.0,3.0,,,,466
Karatsev A.,3,2.0,6.0,,,,429
Bhambri Y.,3,3.0,2.0,,,,91
Musetti L.,3,2.0,7.0,4.0,,,634
Vesely J.,3,3.0,4.0,,,,942
Altmaier D.,3,2.0,3.0,,,,17
Travaglia S.,3,4.0,6.0,,,,896
Majchrzak K.,3,3.0,6.0,,,,550
Ymer E.,3,7.0,6.0,5.0,,,979
Ruusuvuori E.,3,6.0,6.0,1.0,,,773
Paire B.,3,6.0,4.0,6.0,,,685
Djere L.,3,4.0,6.0,1.0,,,219
Dellien H.,3,4.0,6.0,1.0,,,209
Bagnis F.,3,5.0,2.0,,,,48
Cuevas P.,3,1.0,6.0,3.0,,,178
Etcheverry T.,3,4.0,4.0,,,,262
Jarry N.,3,6.0,2.0,,,,407
Ramos-Vinolas A.,3,3.0,3.0,,,,732
Rune H.,3,6.0,3.0,,,,770
Tabilo A.,3,2.0,4.0,,,,877
Londero J.I.,3,2.0,4.0,,,,532
Del Potro J.M.,3,1.0,3.0,,,,203
Lajovic D.,3,6.0,5.0,4.0,,,501
Monteiro T.,3,6.0,3.0,5.0,,,616
Carballes Baena R.,3,6.0,3.0,,,,135
Baez S.,3,3.0,3.0,,,,46
Martinez P.,3,4.0,6.0,,,,565
Andujar P.,3,4.0,4.0,,,,29
Kecmanovic M.,3,3.0,6.0,2.0,,,433
Munar J.,3,6.0,6.0,,,,628
Fognini F.,3,4.0,4.0,,,,282
Coria F.,3,3.0,4.0,,,,168
Verdasco F.,3,4.0,6.0,,,,940
Cerundolo F.,3,6.0,2.0,5.0,,,145
Delbonis F.,3,3.0,3.0,,,,204
Sonego L.,3,5.0,6.0,2.0,,,850
Schwartzman D.,3,7.0,2.0,3.0,,,806
Querrey S.,3,4.0,4.0,,,,720
Millman J.,3,5.0,6.0,,,,597
Lopez F.,3,5.0,3.0,,,,533
Sandgren T.,3,4.0,4.0,,,,790
Gojowczyk P.,3,1.0,4.0,,,,319
Cressy M.,3,6.0,6.0,1.0,,,174
Kudla D.,3,6.0,6.0,3.0,,,482
Otte O.,3,4.0,4.0,,,,681
Chakravarthi C.,3,1.0,0.0,,,,150
Krueger M.,3,4.0,4.0,,,,479
Johnson S.,3,7.0,2.0,6.0,,,415
Altmaier D.,3,6.0,3.0,4.0,,,17
Broady L.,3,6.0,3.0,1.0,,,118
Nakashima B.,3,5.0,6.0,,,,640
Anderson K.,3,6.0,7.0,6.0,,,23
Sock J.,3,1.0,4.0,,,,846
Rodionov J.,3,7.0,6.0,2.0,,,756
